,mean reward,Rework Cost,method
833,159060,8000,Supervisory
834,119090,8000,Supervisory
835,229090,8000,Supervisory
836,150980,8000,Supervisory
837,-39040,8000,Supervisory
838,169040,8000,Supervisory
839,159100,8000,Supervisory
840,149160,8000,Supervisory
841,169070,8000,Supervisory
842,169020,8000,Supervisory
843,169040,8000,Supervisory
844,179070,8000,Supervisory
845,159090,8000,Supervisory
846,169030,8000,Supervisory
847,221040,8000,Supervisory
848,139020,8000,Supervisory
849,179010,8000,Supervisory
850,119060,9000,Supervisory
851,179020,9000,Supervisory
852,188930,9000,Supervisory
853,168990,9000,Supervisory
854,209200,9000,Supervisory
855,159910,9000,Supervisory
856,169080,9000,Supervisory
857,189050,9000,Supervisory
858,149140,9000,Supervisory
859,169010,9000,Supervisory
860,219100,9000,Supervisory
861,238980,9000,Supervisory
862,170030,9000,Supervisory
863,159980,9000,Supervisory
864,129790,9000,Supervisory
865,209130,9000,Supervisory
866,189040,9000,Supervisory
867,129040,9000,Supervisory
868,179060,9000,Supervisory
869,229000,9000,Supervisory
870,180010,9000,Supervisory
871,99940,9000,Supervisory
872,209200,9000,Supervisory
873,159150,9000,Supervisory
874,150070,9000,Supervisory
875,178980,9000,Supervisory
876,219060,9000,Supervisory
877,129030,9000,Supervisory
878,210980,9000,Supervisory
879,169020,9000,Supervisory
880,119130,9000,Supervisory
881,228960,9000,Supervisory
882,158950,9000,Supervisory
883,159150,9000,Supervisory
884,169090,9000,Supervisory
885,201020,9000,Supervisory
886,189030,9000,Supervisory
887,150040,9000,Supervisory
888,189000,9000,Supervisory
889,79040,9000,Supervisory
890,99990,9000,Supervisory
891,159060,9000,Supervisory
892,99900,9000,Supervisory
